B00007EDLW,[-0.4767],[1],"[[disappoint, item, work]]","[[disappoint item work, -0.4767, 1]]"
B00XXC8IJM,[0.8979],[5],"[[glow, fit, better, earbuds, use, wrap, wire, ear, think, noise, cancel, part, part, wire, glow, beat, ive, see, light, get, beat, make, running, earbuds, fall, take, minute, deadno, power, charge, depend, usb, connect, connect, wall, outlet, minute, pc, depend, usb, port, port, anything, minute, product, user, run, like, listen, everyday]]","[[glow fit better earbuds use wrap wire ear think noise cancel part part wire glow beat ive see light get beat make running earbuds fall take minute deadno power charge depend usb connect connect wall outlet minute pc depend usb port port anything minute product user run like listen everyday, 0.8979, 5]]"
B00Y2EDF1G,[0.4215],[5],"[[make, phone, lot, easier, large, purse]]","[[make phone lot easier large purse, 0.4215, 5]]"
B00YINKKAA,[0.9432],[5],"[[perfect, stand, iphone, charger, accommodate, case, watch, sits, stand, finish, great, recommend]]","[[perfect stand iphone charger accommodate case watch sits stand finish great recommend, 0.9432, 5]]"
B00Z6BRRJU,[0.659],[5],[[awesome]],"[[awesome, 0.659, 5]]"
B00ZBADZBU,"[-0.2263, -0.4767]","[2, 1]","[[buy, run, week, wifi, stop, want, make, claim, spend, time, replacement], [wont, hold, charge, refurbish, nightmare, hadnt, bind, buy]]","[[buy run week wifi stop want make claim spend time replacement, -0.2263, 2], [wont hold charge refurbish nightmare hadnt bind buy, -0.4767, 1]]"
B00ZCAXJXS,[0.7964],[5],"[[case, thanks]]","[[case thanks, 0.7964, 5]]"
B00ZK62688,"[-0.6597, 0.9252]","[5, 5]","[[drop, phone, day, damage], [protection, nice, fit, protects, corner]]","[[drop phone day damage, -0.6597, 5], [protection nice fit protects corner, 0.9252, 5]]"
B00ZP6ZBR6,[0.8789],[5],"[[case, im, please, phone, fit, glove, doesnt, look, feel, cheap, get, case, day, thats, considering, come, china, please]]","[[case im please phone fit glove doesnt look feel cheap get case day thats considering come china please, 0.8789, 5]]"
B00ZPM9V2G,[-0.6801],[1],"[[order, glass, screen, protector, receive, box, product, inside, disappoint]]","[[order glass screen protector receive box product inside disappoint, -0.6801, 1]]"
B00ZYU8J68,"[0.5859, -0.6369]","[5, 2]","[[use, stand, button, block, camera, block, case, fit], [heavyduty, protective, case, amaze, price, cant, beat, store, charge]]","[[use stand button block camera block case fit, 0.5859, 5], [heavyduty protective case amaze price cant beat store charge, -0.6369, 2]]"
B01015FYSG,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B010CK2U2S,[-0.5812],[1],"[[quality, start, peel, day, put, pocket, worth, price]]","[[quality start peel day put pocket worth price, -0.5812, 1]]"
B010D6NA7U,"[-0.3105, 0.7902, -0.25, 0.11]","[3, 5, 5, 1]","[[work, fine, frame], [screen, good, problem], [upset, instal, screen, work, mess, display, switch, work, fine], [quality, buy]]","[[work fine frame, -0.3105, 3], [screen good problem, 0.7902, 5], [upset instal screen work mess display switch work fine, -0.25, 5], [quality buy, 0.11, 1]]"
B010PZB256,[-0.3612],[1],"[[cheap, apply, spot, wouldnt, crack, try, massage, get, add, disappointment, protector, pack, wasnt, design, galaxy, move, spend, quality, brand]]","[[cheap apply spot wouldnt crack try massage get add disappointment protector pack wasnt design galaxy move spend quality brand, -0.3612, 1]]"
B010V7BG3Q,[0.4404],[5],[[buy]],"[[buy, 0.4404, 5]]"
B0111KZ9UI,[0.9193],[5],"[[recommend, product, price, water, paper, towel, inside, come, minute, add, weight, make, sure, submergedbr, br, money, pay, well, deal, lifeproof, case, wasvery, fell, apart, month, replacement, case, receive, fell, apart, month, give, buy, accmor, case, gladbr, br, pay, review, dont, know, anyone, associate, product, pay, price, product, product, give, anything, exchange, review, deserve, recommendation]]","[[recommend product price water paper towel inside come minute add weight make sure submergedbr br money pay well deal lifeproof case wasvery fell apart month replacement case receive fell apart month give buy accmor case gladbr br pay review dont know anyone associate product pay price product product give anything exchange review deserve recommendation, 0.9193, 5]]"
B0116XPJ9G,[0.5267],[5],"[[im, enjoy]]","[[im enjoy, 0.5267, 5]]"
B0119IEX8Q,"[0.7964, 0.7003]","[5, 5]","[[look, feel, stiff, seem, soften, recommend], [thanks]]","[[look feel stiff seem soften recommend, 0.7964, 5], [thanks, 0.7003, 5]]"
B0128I9BYW,"[0.7684, 0.0]","[5, 4]","[[case, quality, besides, inch, phone, wasnt, bulky, part], [order, case, didnt, realize, order, quality, case, si, reorder, size, time]]","[[case quality besides inch phone wasnt bulky part, 0.7684, 5], [order case didnt realize order quality case si reorder size time, 0.0, 4]]"
B013D8TCQI,"[0.6249, 0.4404, 0.7269, 0.8737, 0.3773]","[5, 5, 5, 5, 5]","[[awesome, case], [purchase, supcase, unicorn, beetle, series, case, past, phone, ive, case, ive, receive, looking, done, job, protect, phone, edge, glass, front, phone, hasnt, crack, scratch, time, ive, drop], [case, htc, m, love, shop, phone, requirement, case, bought, phone, yesterday, order, case, arrive, today, couldnt, happier, case, quality, price, cant, beat], [nice, case, great, fit]]","[[awesome case, 0.6249, 5], [purchase supcase unicorn beetle series case past phone ive case ive receive looking done job protect phone edge glass front phone hasnt crack scratch time ive drop, 0.4404, 5], [case htc m love shop phone requirement case bought phone yesterday order case arrive today couldnt happier case quality price cant beat, 0.7269, 5], [nice case great fit, 0.8737, 5], [, 0.3773, 5]]"
B013ZX8BKE,[0.9547],[5],"[[product, recommend, itbr, br, id, use, rubber, band, stretch, car, air, vent, knob, hold, phone, dash, use, gps, navigation, keep, hand, wheel, eye, point, towards, road, concern, safety, practice, get, rubber, band, crack, snap, send, phone, floor, fly, rubber, band, piece, towards, eyeball, knob, dash, pull, couple, time, send, phone, foot, everyone, know, drop, phone, save, shatter, gazillion, tiny, shard, glass, reflex, youre, fly, freeway, mphbr, br, didnt, want, clunky, awkward, phone, holder, giant, suction, cup, affix, windshield, announcing, whole, world, cell, phone, leave, car, please, come, break, look, black, suction, cup, block, view, something, important, family, duck, cross, roadbr, br, month, try, way, deal, phone, car, sticky, mat, rubber, band, duct, tape, dont, try, come]]","[[product recommend itbr br id use rubber band stretch car air vent knob hold phone dash use gps navigation keep hand wheel eye point towards road concern safety practice get rubber band crack snap send phone floor fly rubber band piece towards eyeball knob dash pull couple time send phone foot everyone know drop phone save shatter gazillion tiny shard glass reflex youre fly freeway mphbr br didnt want clunky awkward phone holder giant suction cup affix windshield announcing whole world cell phone leave car please come break look black suction cup block view something important family duck cross roadbr br month try way deal phone car sticky mat rubber band duct tape dont try come, 0.9547, 5]]"
B0147E7836,"[0.9346, 0.9661]","[5, 5]","[[case, awesome, kickstand, great, watch, netflix, youtube, case, feel, hand, protects, phone, put, went, dog, walk, im, pet, sitter, dog, pull, change, song, phone, drop, fine, case, recommend, friend], [case, show, order, feel, kick, stand, allow, prop, phone, work, something, didnt, know, want, reccomened, quality, product]]","[[case awesome kickstand great watch netflix youtube case feel hand protects phone put went dog walk im pet sitter dog pull change song phone drop fine case recommend friend, 0.9346, 5], [case show order feel kick stand allow prop phone work something didnt know want reccomened quality product, 0.9661, 5]]"
